(0.89, -0.32, -0.32), (-0.01, -0.09, -1.00), (0.30, -0.09, -0.95), (0.40, -0.07, -0.92), (0.55, -0.10, -0.83)
(0.08, -0.52, -0.85), (-0.74, 0.31, -0.60), (-0.65, 0.50, -0.57), (-0.61, 0.53, -0.58), (-0.51, 0.33, -0.79)
(0.94, 0.27, -0.21), (-0.01, 0.51, -0.86), (-0.09, 0.61, -0.79), (-0.16, 0.68, -0.72), (-0.12, 0.72, -0.69)
(0.98, -0.02, -0.19), (0.35, 0.43, -0.83), (0.21, 0.60, -0.77), (0.12, 0.62, -0.77), (0.24, 0.65, -0.72)
(0.93, -0.22, -0.29), (0.77, -0.43, -0.47), (0.72, -0.39, -0.57), (0.66, -0.47, -0.59), (0.75, -0.48, -0.46)
(0.95, -0.25, 0.17), (0.84, -0.52, -0.16), (0.84, -0.54, -0.12), (0.82, -0.57, 0.01), (0.81, -0.58, 0.10)
(0.92, -0.30, 0.27), (0.96, 0.08, -0.29), (0.80, 0.30, -0.52), (0.84, 0.23, -0.48), (0.89, 0.33, -0.33)
(0.86, -0.24, 0.45), (0.67, 0.69, -0.27), (-0.26, 0.83, -0.49), (0.04, 0.92, -0.38), (0.97, 0.20, -0.14)
(0.75, 0.18, 0.63), (0.87, 0.36, -0.35), (0.71, 0.50, -0.50), (0.88, 0.39, -0.28), (0.98, 0.20, -0.05)
(0.68, 0.24, 0.69), (0.90, 0.30, -0.32), (0.81, 0.38, -0.45), (0.92, 0.30, -0.25), (0.96, 0.25, -0.12)
(1.00, 0.09, 0.05), (0.85, -0.45, -0.28), (0.84, -0.43, -0.34), (0.79, -0.48, -0.39), (0.84, -0.48, -0.24)
(0.98, -0.13, 0.17), (0.49, -0.74, -0.46), (0.54, -0.70, -0.46), (0.63, -0.66, -0.40), (0.88, -0.48, 0.00)
(0.96, -0.28, 0.03), (0.50, -0.70, -0.51), (0.39, -0.65, -0.65), (0.49, -0.64, -0.59), (0.69, -0.58, -0.43)
(0.97, 0.21, -0.08), (0.29, 0.36, -0.89), (0.12, 0.37, -0.92), (0.30, 0.39, -0.87), (0.55, 0.34, -0.76)
(0.94, 0.30, 0.17), (0.62, 0.40, -0.67), (0.47, 0.41, -0.78), (0.63, 0.32, -0.71), (0.78, 0.25, -0.57)
(0.82, 0.53, 0.21), (0.91, -0.11, -0.40), (0.93, -0.23, -0.30), (0.93, -0.35, -0.12), (0.89, -0.42, -0.14)
(0.86, 0.45, 0.23), (0.86, -0.10, -0.50), (0.82, -0.23, -0.52), (0.85, -0.38, -0.36), (0.82, -0.47, -0.34)
(0.97, -0.20, -0.17), (-0.61, 0.12, -0.78), (-0.68, 0.39, -0.62), (-0.56, 0.52, -0.64), (-0.25, 0.57, -0.78)
(0.97, -0.23, -0.08), (-0.59, 0.22, -0.78), (-0.66, 0.46, -0.60), (-0.54, 0.58, -0.61), (-0.23, 0.65, -0.73)
(0.82, -0.56, -0.08), (-0.39, 0.06, -0.92), (-0.57, 0.40, -0.72), (-0.43, 0.48, -0.77), (-0.18, 0.51, -0.84)
(0.87, -0.35, -0.35), (0.66, -0.47, -0.59), (0.53, -0.24, -0.81), (0.52, -0.13, -0.84), (0.53, -0.15, -0.84)
(0.98, -0.16, 0.13), (0.84, 0.13, -0.53), (0.71, 0.39, -0.58), (0.75, 0.43, -0.50), (0.66, 0.55, -0.52)
(0.97, -0.23, 0.11), (0.50, 0.75, -0.43), (-0.02, 0.98, -0.19), (-0.19, 0.96, -0.18), (0.08, 0.99, 0.13)
(0.62, -0.73, 0.28), (0.84, -0.42, 0.34), (0.69, -0.62, 0.38), (0.67, -0.60, 0.44), (0.80, -0.54, 0.27)
